name,city,brand,operator,longitude,latitude
Odeon,Colchester,Odeon,,0.8956783,51.8886278
Odeon,Loughborough,Odeon,,-1.2067538,52.7702714
Castle Cinema,London,,,-0.0431931,51.5513301
Excelsior Cinema,,,,-5.7457477,54.529096
,,,,-0.1295168,51.5114172
Everyman Chelsea,London,Everyman Cinemas,,-0.1731524,51.4855904
Odeon,Renfrew,Odeon,,-4.3713992,55.8793813
Libanus 1877,,,,-4.0504986,52.4877708
Vue,Bolton,Vue,,-2.5331083,53.5819708
Showcase Cinemas,,Showcase Cinemas,,-4.4752907,55.845365
Vue,,Vue,,-3.9399466,51.6186684
Omniplex Larne,Larne,,Omniplex Cinema Group,-5.8103825,54.847082
Odeon,Exeter,Odeon,,-3.5222365,50.7286122
Vue Altrincham,Altrincham,Vue,,-2.3488338,53.3847657
Odeon,Bradford,Odeon,,-1.7024877,53.7999207
,Stafford,,,-2.1156166,52.8036638
Theatr Mwldan,Cardigan / Aberteifi,,,-4.6605045,52.0858636
Wells Film Centre,Wells,,,-2.6508619,51.2066293
Uxbridge Odeon,,Odeon,,-0.4755082,51.5453132
Vue,Cwmbran,Vue,,-3.0192251,51.6546153
LEGO Studios 4D,,,,-0.6532856,51.464879
Vue Gunwharf Quays,Portsmouth,Vue,,-1.1067422,50.7958883
Omniplex Cinema,,,,-7.3218188,54.9999923
Cineworld,Ely,Cineworld,,0.2511889,52.4105152
Everyman,,Everyman Cinemas,,-0.7773383,51.5720142
The Tower Digital Arts Centre (formerly St Columba Church),,,,-4.7331751,56.0052418
Moviehouse,Coleraine,,,-6.677883,55.1199082
The Barn Cinema,,,,-3.6933774,50.4521512
The Light,,,,-1.990183,52.5860742
Movie House,Maghera,,,-6.6732007,54.8440567
Regal Cinema,,,,-5.2297436,50.2332121
Kavanagh Cinema,Herne Bay,,,1.1273914,51.3703068
Vue,Lancaster,Vue,,-2.800689,54.0492655
Odeon,,Odeon,,-2.1141249,52.4796428
Vue,Edinburgh,Vue,,-3.1777421,55.9806635
Cineworld,Broughton,Cineworld,,-2.974786,53.1671623
"Merlin Cinema, Bar & Kitchen",,,,-3.5362818,58.5863002
Cineworld,Aberdeen,Cineworld,Cineworld,-2.0963164,57.1439174
Olympic Studios,London,,,-0.2406397,51.4752698
Rooftop Film Club,London,,,-0.0675484,51.4699124
Lynton Cinema,,,,-3.8369417,51.2303762
Apollo Cinema,,,,-3.8123779,51.592655
Cineworld,Leeds,Cineworld,,-1.5755954,53.758787
Omniplex Cinema Dungannon,Dungannon,Omniplex,Omniplex Cinemas,-6.7616059,54.5123605
Cineworld,,Cineworld,,1.3165219,51.1258997
